feature,importance
price_close,0.082706645
ls_top_top_account_long_short_ratio,0.048518535
ls_top_top_account_short_percent,0.044261888
oi_zscore,0.041276965
price_high,0.038676094
price_volume_usd,0.03237078
price_true_range,0.031331792
ls_top_top_account_long_percent,0.030091915
taker_buy_mean_12,0.026686845
taker_sell_mean_12,0.024658438
price_rolling_vol_5,0.024614112
price_close_mean_5,0.024449734
price_body_size,0.02381184
price_open,0.02361503
funding_std_24,0.022697097
cross_taker_funding,0.020263743
funding_mean_24,0.02022257
basis_volatility_24,0.02008661
taker_buy_zscore,0.019092642
taker_sell_std_12,0.018089728
funding_zscore,0.01800975
basis_mean_24,0.016972557
ls_top_zscore,0.0168968
basis_drift,0.016826823
price_volume_change,0.016592491
taker_aggregated_buy_volume,0.016572498
taker_aggregated_sell_volume,0.016359951
funding_open,0.015927425
price_low,0.01582359
price_volume_zscore,0.015813043
funding_close,0.015732517
funding_low,0.01547062
taker_sell_zscore,0.01409973
price_close_std_5,0.013871046
cross_taker_price,0.013764741
basis_open_basis,0.012820989
cross_basis_taker,0.012388803
price_wick_lower,0.0123055745
price_close_return_5,0.011511234
taker_buy_std_12,0.011248333
basis_close_basis,0.0099981595
basis_close_change,0.009111282
price_wick_upper,0.00826618
price_volume_mean_10,0.0077684135
basis_delta,0.0077426047
taker_imbalance,0.0065619596
taker_buy_ratio,0.0062343837
cross_ls_price,0.0046231616
price_log_return,0.00376249
price_close_return_1,0.0036644684
basis_open_change,0.003436387
basis_zscore,0.0032592863
funding_high,0.0030768001
ls_top_delta,0.0030668795
cross_funding_price,0.0028960137
oi_low,0.0
oi_high,0.0
oi_open,0.0
oi_close,0.0
funding_norm,0.0
oi_std_24,0.0
oi_change_pct,0.0
oi_delta,0.0
cross_oi_price,0.0
